Date,Cons,Irradiacao,PV_Out,Surplus
2018-06-20 06:00:00,18.4375,0.418,257.14210499999996,238.70460499999996
2018-06-20 07:00:00,28.385416666666668,0.489,300.8193525,272.4339358333333
2018-06-20 08:00:00,36.770833333333336,0.546,335.884185,299.1133516666667
2018-06-20 09:00:00,45.208333333333336,0.595,366.02763749999997,320.81930416666665
2018-06-20 10:00:00,51.302083333333336,0.642,394.940745,343.6386616666667
2018-06-20 11:00:00,55.0,0.67,412.16557500000005,357.16557500000005
2018-06-20 12:00:00,54.739583333333336,0.671,412.78074749999996,358.04116416666665
2018-06-20 13:00:00,54.010416666666664,0.667,410.32005749999996,356.3096408333333
2018-06-20 14:00:00,54.166666666666664,0.637,391.86488249999996,337.6982158333333
2018-06-20 15:00:00,55.833333333333336,0.586,360.49108499999994,304.6577516666666
2018-06-20 16:00:00,56.822916666666664,0.497,305.7407324999999,248.91781583333326
2018-06-20 17:00:00,53.697916666666664,0.369,226.9986525,173.30073583333333
2018-06-20 18:00:00,47.291666666666664,0.083,51.059317500000006,3.7676508333333416
2018-06-20 19:00:00,37.083333333333336,0.0,0.0,-37.083333333333336
2018-06-20 20:00:00,29.010416666666668,0.0,0.0,-29.010416666666668
2018-06-20 21:00:00,25.15625,0.0,0.0,-25.15625
2018-06-20 22:00:00,22.291666666666668,0.0,0.0,-22.291666666666668
2018-06-20 23:00:00,20.520833333333332,0.0,0.0,-20.520833333333332
2018-06-21 00:00:00,19.635416666666668,0.0,0.0,-19.635416666666668
2018-06-21 01:00:00,18.59375,0.0,0.0,-18.59375
2018-06-21 02:00:00,18.229166666666668,0.0,0.0,-18.229166666666668
2018-06-21 03:00:00,17.96875,0.0,0.0,-17.96875
2018-06-21 04:00:00,17.65625,0.045,27.6827625,10.026512499999999
2018-06-21 05:00:00,17.96875,0.305,187.62761249999997,169.65886249999997
2018-06-21 06:00:00,18.28125,0.418,257.14210499999996,238.86085499999996
2018-06-21 07:00:00,28.177083333333332,0.489,300.8193525,272.64226916666667
2018-06-21 08:00:00,36.666666666666664,0.546,335.884185,299.2175183333333
2018-06-21 09:00:00,42.864583333333336,0.595,366.02763749999997,323.16305416666665
2018-06-21 10:00:00,47.34375,0.642,394.940745,347.596995
2018-06-21 11:00:00,49.895833333333336,0.67,412.16557500000005,362.26974166666673
2018-06-21 12:00:00,51.302083333333336,0.671,412.78074749999996,361.47866416666665
2018-06-21 13:00:00,51.510416666666664,0.667,410.32005749999996,358.8096408333333
